scenario,supply_ratio,seed,num_tasks,num_volunteers,total_demand,method,completed_tasks,completed_urgency,completion_rate,urgency_weighted_completion,total_distance_km,distance_per_completed_task,distance_per_completed_urgency
resource_rich,1.3,15,10,25,19,Greedy,10,25,1.0,1.0,19.465493500545943,1.9465493500545943,0.7786197400218378
resource_rich,1.3,15,10,25,19,Optimization,10,25,1.0,1.0,17.150665470472628,1.7150665470472628,0.6860266188189051
resource_rich,1.3,16,10,21,16,Greedy,9,24,0.9,0.96,22.270482309103908,2.4744980343448786,0.9279367628793295
resource_rich,1.3,16,10,21,16,Optimization,10,25,1.0,1.0,20.94274233969892,2.094274233969892,0.8377096935879568
resource_rich,1.3,17,10,29,22,Greedy,10,36,1.0,1.0,19.292772582750107,1.9292772582750106,0.5359103495208363
resource_rich,1.3,17,10,29,22,Optimization,10,36,1.0,1.0,15.234830344979063,1.5234830344979062,0.423189731804974
resource_rich,1.3,18,10,23,18,Greedy,10,35,1.0,1.0,21.272216314634523,2.1272216314634522,0.6077776089895578
resource_rich,1.3,18,10,23,18,Optimization,10,35,1.0,1.0,15.569203479014675,1.5569203479014675,0.444834385114705
resource_rich,1.3,19,10,21,16,Greedy,9,23,0.9,0.8846153846153846,23.68549806069121,2.631722006743468,1.0298042635083136
resource_rich,1.3,19,10,21,16,Optimization,10,26,1.0,1.0,20.1083198801672,2.01083198801672,0.7733969184679693
resource_rich,1.3,20,10,21,16,Greedy,10,23,1.0,1.0,18.886839168799277,1.8886839168799276,0.8211669203825772
resource_rich,1.3,20,10,21,16,Optimization,10,23,1.0,1.0,16.646194974141167,1.6646194974141166,0.7237476075713551
resource_rich,1.3,21,10,23,18,Greedy,10,32,1.0,1.0,19.179671185594813,1.9179671185594813,0.5993647245498379
resource_rich,1.3,21,10,23,18,Optimization,10,32,1.0,1.0,17.178517655881972,1.7178517655881973,0.5368286767463116
resource_rich,1.3,22,10,22,17,Greedy,9,31,0.9,0.96875,13.01407541208621,1.4460083791206901,0.4198088842608455
resource_rich,1.3,22,10,22,17,Optimization,10,32,1.0,1.0,14.290528442307167,1.4290528442307167,0.44657901382209897
resource_rich,1.3,23,10,26,20,Greedy,10,29,1.0,1.0,19.12660327613184,1.912660327613184,0.6595380440045462
resource_rich,1.3,23,10,26,20,Optimization,10,29,1.0,1.0,16.884248824798092,1.6884248824798092,0.5822154767171756
resource_rich,1.3,24,10,29,22,Greedy,10,30,1.0,1.0,21.105174948477167,2.110517494847717,0.7035058316159055
resource_rich,1.3,24,10,29,22,Optimization,10,30,1.0,1.0,19.85410174559172,1.985410174559172,0.661803391519724
resource_rich,1.3,25,10,21,16,Greedy,9,31,0.9,0.96875,17.494409621343962,1.9438232912604403,0.564335794236902
resource_rich,1.3,25,10,21,16,Optimization,10,32,1.0,1.0,18.163521443406808,1.8163521443406807,0.5676100451064627
resource_rich,1.3,26,10,25,19,Greedy,10,26,1.0,1.0,23.872197297323623,2.3872197297323625,0.918161434512447
resource_rich,1.3,26,10,25,19,Optimization,10,26,1.0,1.0,19.30654119781276,1.9306541197812759,0.7425592768389523
resource_rich,1.3,27,10,25,19,Greedy,10,27,1.0,1.0,15.93648394765861,1.593648394765861,0.5902401462095782
resource_rich,1.3,27,10,25,19,Optimization,10,27,1.0,1.0,12.578118639915381,1.257811863991538,0.4658562459227919
resource_rich,1.3,28,10,27,21,Greedy,10,29,1.0,1.0,20.201457523768678,2.0201457523768678,0.6966019835782302
resource_rich,1.3,28,10,27,21,Optimization,10,29,1.0,1.0,17.581672466702074,1.7581672466702074,0.6062645678173129
resource_rich,1.3,29,10,31,24,Greedy,10,36,1.0,1.0,24.254944628727017,2.4254944628727015,0.6737484619090838
resource_rich,1.3,29,10,31,24,Optimization,10,36,1.0,1.0,22.140969576220595,2.2140969576220595,0.6150269326727943
balanced,1.0,0,10,20,20,Greedy,9,37,0.9,0.9736842105263158,25.189014840080887,2.798779426675654,0.680784184867051
balanced,1.0,0,10,20,20,Optimization,10,38,1.0,1.0,22.4476816594389,2.24476816594389,0.5907284647220763
balanced,1.0,1,10,19,19,Greedy,10,34,1.0,1.0,19.66525964710077,1.9665259647100768,0.5783899896206108
balanced,1.0,1,10,19,19,Optimization,10,34,1.0,1.0,17.564979974057177,1.7564979974057178,0.5166170580605052
balanced,1.0,2,10,24,24,Greedy,10,33,1.0,1.0,27.912705459778984,2.7912705459778984,0.845839559387242
balanced,1.0,2,10,24,24,Optimization,10,33,1.0,1.0,23.083354990647543,2.3083354990647544,0.6994956057771983
balanced,1.0,3,10,19,19,Greedy,9,33,0.9,0.9705882352941176,16.54840971190383,1.8387121902115366,0.5014669609667827
balanced,1.0,3,10,19,19,Optimization,10,34,1.0,1.0,20.848932158305647,2.0848932158305646,0.6132038870089896
balanced,1.0,4,10,16,16,Greedy,6,21,0.6,0.7,12.715849014838348,2.1193081691397246,0.605516619754207
balanced,1.0,4,10,16,16,Optimization,8,28,0.8,0.9333333333333333,15.030372811592375,1.878796601449047,0.536799028985442
balanced,1.0,5,10,14,14,Greedy,6,17,0.6,0.7391304347826086,9.918866101358036,1.6531443502263394,0.5834627118445903
balanced,1.0,5,10,14,14,Optimization,10,23,1.0,1.0,24.511985361946863,2.451198536194686,1.0657384939976897
balanced,1.0,6,10,18,18,Greedy,8,30,0.8,0.9375,17.54696555129965,2.193370693912456,0.5848988517099883
balanced,1.0,6,10,18,18,Optimization,10,32,1.0,1.0,18.988717595559557,1.8988717595559557,0.5933974248612361
balanced,1.0,7,10,16,16,Greedy,9,21,0.9,0.9545454545454546,23.919500954650957,2.657722328294551,1.1390238549833789
balanced,1.0,7,10,16,16,Optimization,10,22,1.0,1.0,25.81168101893971,2.581168101893971,1.173258228133623
balanced,1.0,8,10,24,24,Greedy,9,27,0.9,0.9642857142857143,20.312347027988636,2.256927447554293,0.7523091491847643
balanced,1.0,8,10,24,24,Optimization,10,28,1.0,1.0,20.8095148040632,2.08095148040632,0.7431969572879714
balanced,1.0,9,10,23,23,Greedy,10,20,1.0,1.0,27.90956992757485,2.790956992757485,1.3954784963787426
balanced,1.0,9,10,23,23,Optimization,10,20,1.0,1.0,21.976149652517954,2.1976149652517956,1.0988074826258978
balanced,1.0,10,10,16,16,Greedy,8,33,0.8,0.9166666666666666,16.177176310303633,2.022147038787954,0.49021746394859494
balanced,1.0,10,10,16,16,Optimization,10,36,1.0,1.0,21.509985141578145,2.1509985141578145,0.5974995872660596
balanced,1.0,11,10,18,18,Greedy,9,26,0.9,0.9629629629629629,15.081068648703871,1.6756742943004301,0.5800411018732258
balanced,1.0,11,10,18,18,Optimization,10,27,1.0,1.0,18.825154936307232,1.8825154936307231,0.6972279606039715
balanced,1.0,12,10,24,24,Greedy,10,23,1.0,1.0,31.85232890874717,3.185232890874717,1.3848838655977032
balanced,1.0,12,10,24,24,Optimization,10,23,1.0,1.0,27.603000778835163,2.7603000778835165,1.2001304686450072
balanced,1.0,13,10,20,20,Greedy,8,17,0.8,0.85,17.385050891354688,2.173131361419336,1.0226500524326287
balanced,1.0,13,10,20,20,Optimization,9,18,0.9,0.9,16.516466377964463,1.8351629308849402,0.9175814654424701
balanced,1.0,14,10,17,17,Greedy,9,37,0.9,0.9024390243902439,15.971152967820677,1.7745725519800752,0.43165278291407233
balanced,1.0,14,10,17,17,Optimization,10,41,1.0,1.0,19.571080911196304,1.9571080911196304,0.47734343685844643
balanced,1.0,15,10,19,19,Greedy,10,25,1.0,1.0,28.48158884172696,2.848158884172696,1.1392635536690785
balanced,1.0,15,10,19,19,Optimization,10,25,1.0,1.0,23.728926015626385,2.3728926015626386,0.9491570406250553
