seed,alpha,beta,supply_ratio,num_tasks,num_volunteers,total_demand,completed_tasks,completed_urgency,completion_rate,urgency_weighted_completion,total_distance_km,distance_per_completed_task,distance_per_completed_urgency
28,1.0,1.0,1.0,10,21,21,6,21,0.6,0.7241379310344828,8.667002491806661,1.4445004153011103,0.4127144043717458
28,2.0,1.0,1.0,10,21,21,8,27,0.8,0.9310344827586207,16.31014374785622,2.0387679684820275,0.6040793980687489
28,5.0,1.0,1.0,10,21,21,9,28,0.9,0.9655172413793104,20.60254224066358,2.2891713600737313,0.7358050800236994
28,10.0,1.0,1.0,10,21,21,10,29,1.0,1.0,26.271262080956785,2.6271262080956785,0.9059055889985098
28,20.0,1.0,1.0,10,21,21,10,29,1.0,1.0,26.271262080956785,2.6271262080956785,0.9059055889985098
28,50.0,1.0,1.0,10,21,21,10,29,1.0,1.0,26.271262080956785,2.6271262080956785,0.9059055889985098
29,0.5,1.0,1.0,10,24,24,5,23,0.5,0.6388888888888888,6.869802503473362,1.3739605006946722,0.298687065368407
29,1.0,1.0,1.0,10,24,24,7,32,0.7,0.8888888888888888,14.129971308401661,2.018567329771666,0.4415616033875519
29,2.0,1.0,1.0,10,24,24,8,34,0.8,0.9444444444444444,16.369923424927435,2.0462404281159294,0.4814683360272775
29,5.0,1.0,1.0,10,24,24,9,35,0.9,0.9722222222222222,21.105906169837745,2.345100685537527,0.6030258905667927
29,10.0,1.0,1.0,10,24,24,10,36,1.0,1.0,27.54096869867757,2.754096869867757,0.7650269082965991
29,20.0,1.0,1.0,10,24,24,10,36,1.0,1.0,27.54096869867757,2.754096869867757,0.7650269082965991
29,50.0,1.0,1.0,10,24,24,10,36,1.0,1.0,27.54096869867757,2.754096869867757,0.7650269082965991
